participante,seg_id,bpm_watch,pred_final
2,1300,57.936292012090085,62.77776295345918
2,1300,54.710418891363325,62.77776295345918
2,1300,53.52642153511016,62.77776295345918
2,1300,53.371917473956486,62.77776295345918
2,1300,53.35652225461357,62.77776295345918
2,200,54.099686988466274,62.7297780374362
2,200,52.12919736569062,62.7297780374362
2,200,50.93089142083089,62.7297780374362
2,200,50.75924026986737,62.7297780374362
2,200,50.96805867529535,62.7297780374362
5,100,91.37518589238584,75.7495370448991
5,100,91.2909341912249,75.7495370448991
5,100,89.23036357881703,75.7495370448991
5,100,85.22157713757964,75.7495370448991
5,100,80.42834890275806,75.7495370448991
5,200,75.26463412510884,75.17971417318691
5,200,73.72653855761408,75.17971417318691
5,200,73.88260281901339,75.17971417318691
5,200,74.82827949420714,75.17971417318691
5,200,75.39565576650362,75.17971417318691
6,1400,58.73235185749693,64.81395888641882
6,1400,58.62714196554097,64.81395888641882
6,1400,60.45101476498816,64.81395888641882
6,1400,62.357384672110975,64.81395888641882
6,1400,62.81214996945733,64.81395888641882
6,300,63.39425992538995,66.06472903654502
6,300,64.22523826737424,66.06472903654502
6,300,65.09823301395812,66.06472903654502
6,300,65.93390214536097,66.06472903654502
6,300,66.26850842288233,66.06472903654502
7,1200,73.32689094220824,75.06020943709629
7,1200,70.96984174313485,75.06020943709629
7,1200,70.50746199300279,75.06020943709629
7,1200,71.18424499664472,75.06020943709629
7,1200,72.40615534864979,75.06020943709629
7,200,82.49674762430648,76.00642193885623
7,200,80.71535938797575,76.00642193885623
7,200,78.81582101144832,76.00642193885623
7,200,77.3559574986949,76.00642193885623
7,200,76.32281789614525,76.00642193885623
8,200,81.34862810089474,88.69416605385204
8,200,80.70389406464317,88.69416605385204
8,200,79.51280644755343,88.69416605385204
8,200,79.85707889821106,88.69416605385204
8,200,79.8599178377168,88.69416605385204
8,600,92.3376839293546,89.4020136334926
8,600,98.6750942368012,89.4020136334926
8,600,104.55302597898424,89.4020136334926
8,600,109.1041761939144,89.4020136334926
8,600,110.33622071151268,89.4020136334926
9,1300,67.06223546560709,74.27263167848896
9,1300,67.07542951643725,74.27263167848896
9,1300,67.78068046394365,74.27263167848896
9,1300,68.51722243410168,74.27263167848896
9,1300,68.79163414358575,74.27263167848896
9,300,76.6328784712722,74.11999105681558
9,300,76.82045414019314,74.11999105681558
9,300,78.38153466935651,74.11999105681558
9,300,79.87713132590815,74.11999105681558
9,300,80.50325216694324,74.11999105681558
10,100,84.90927501901405,84.761347966003
10,100,85.99194501230727,84.761347966003
10,100,86.37630328935978,84.761347966003
